Texto fonte - inglês,Tradução - português,Comentário,Subprojecto
"New User: %1$s 
Remote IP: %2$s 

Disable these notifications: %3$s","Novo utilizador: %1$s 
IP remoto: %2$s 

Desactivar estas notificações: %3$s","translators: New user notification email. 1: User login, 2: User IP address,
3: Settings screen URL",dev
"New Site: %1$s 
URL: %2$s 
Remote IP: %3$s 

Disable these notifications: %4$s","Novo site: %1$s 
URL: %2$s 
IP remoto: %3$s 

Desactivar estas notificações: %4$s","translators: New site notification email. 1: Site URL, 2: User IP address,
3: Settings screen URL",dev
Media File,Ficheiro multimédia,,dev
Attachment Page,Página de anexo,,dev
Link To,Ligar a,,dev
Describe this media file&hellip;,Descreva este ficheiro multimédia&hellip;,,dev
Describe this audio file&hellip;,Descreva este ficheiro de áudio&hellip;,,dev
Describe this video&hellip;,Descreva este vídeo&hellip;,,dev
Update gallery,Actualizar a galeria,,dev
<strong>ERROR</strong>: This username is already registered. Please choose another one.,<strong>ERRO</strong>: Esse nome de utilizador já está registado. Por favor escolha outro.,,dev
Please enter a valid email address.,Por favor insira um endereço de email válido.,,dev
The requested user does not exist.,O utilizador solicitado não existe.,,dev
Image Editor Save Failed,O editor de imagem não guardou esta imagem,,dev
Image flip failed.,Não foi possível inverter a imagem.,,dev
Image rotate failed.,A rotação da imagem falhou.,,dev
Image crop failed.,O recorte da imagem falhou.,,dev
Image resize failed.,O redimensionamento da imagem falhou.,,dev
Could not read image size.,Não foi possível ler o tamanho da imagem.,,dev
File is not an image.,Este ficheiro não é uma imagem.,,dev
File doesn&#8217;t exist?,Ficheiro inexistente?,,dev
%1$s %2$s [Display name based on first name and last name],%1$s %2$s,"translators: 1: first name, 2: last name",dev
Could not insert term relationship into the database,Não foi possível inserir a relação dos termos na base de dados,,dev
Current Color,Cor actual,,dev
Select Color,Seleccionar cor,,dev
Clear,Limpar,,dev
Add to gallery,Adicionar à galeria,,dev
Insert into post,Inserir no artigo,,dev
Create a new gallery,Criar uma nova galeria,,dev
Insert Media,Inserir multimédia,,dev
View Attachment Page,Ver página do anexo,,dev
Select Files,Seleccione ficheiros,,dev
or [Uploader: Drop files here - or - Select Files],ou,,dev
Alternative Text,Texto alternativo,,dev
"Sorry, revisions are disabled.",As revisões estão desactivadas.,,dev
"Sorry, you are not allowed to edit posts.",Não tem permissões para editar artigos.,,dev
"Sorry, the user cannot be updated.",Este utilizador não pode ser actualizado.,,dev
"Sorry, you are not allowed to create pages as this user.",Não tem permissão para criar páginas com este nome de utilizador.,,dev
Display post date?,Mostrar a data do artigo?,,dev
%1$s %2$s %3$s Feed,Feed de %1$s %2$s %3$s,"translators: 1: blog name, 2: separator(raquo), 3: post type name",dev
There is a revision of this post that is more recent.,Existe uma revisão mais recente deste artigo.,,dev
XML-RPC services are disabled on this site.,O protocolo XML-RPC está desactivado neste site.,,dev
Incorrect username or password.,Nome de utilizador ou senha incorrectos.,,dev
Text [Name for the Text editor tab (formerly HTML)],HTML,,dev
Skip to toolbar,Ir para a barra de ferramentas,,dev
Header Text Color,Cor do texto do cabeçalho,,dev
Colors,Cores,,dev
Saved,Guardado,,dev
Save &amp; Activate,Guardar e activar,,dev
Save &amp; Publish,Guardar e publicar,,dev
Select File,Seleccionar ficheiro,,dev
Customize,Personalizar,,dev
Insufficient arguments passed to this XML-RPC method.,Argumentos insuficientes na chamada a este serviço de publicação remota (XML-RPC).,,dev
"Sorry, you cannot stick a private post.",Não pode fixar um artigo privado.,,dev
"Sorry, you are not allowed to publish this page.",Não tem autorização para publicar esta página.,,dev
Header Image,Imagem do cabeçalho,,dev
Post Thumbnail,Imagem de destaque,,dev
Toggle Editor Text Direction,Alterar direcção do texto do editor,,dev
text direction,direcção do texto,,dev
Username must be at least 4 characters.,O nome de utilizador deve ter pelo menos 4 caracteres.,,dev
That name is not allowed.,Esse nome não é permitido.,,dev
Please enter a site title.,Indique o título do site.,,dev
Please enter a username.,Indique um nome de utilizador.,,dev
Please enter a site name.,Por favor indique o nome do site.,,dev
"Site name must be at least %s character.
Site name must be at least %s characters.","O nome do site deve ter pelo menos %s caractere.
O nome do site deve ter pelo menos %s caracteres.",translators: %s: minimum site name length,dev
A static page,Uma página estática,,dev
Background Image,Imagem de fundo,,dev
Background Color,Cor de fundo,,dev
Change Image,Mudar imagem,,dev
Remove image,Remover imagem,,dev
"Sorry, you are not allowed to edit this comment.",Não tem permissão para editar este comentário.,,dev
Posts page,Página de artigos,,dev
Front page,Página inicial,,dev
Allowed Files,Ficheiros permitidos,,dev
Remove,Eliminar,,dev
"Sorry, you are not allowed to assign terms in this taxonomy.",Não tem permissões para atribuir termos a esta taxonomia.,,dev
"Sorry, deleting the term failed.",A eliminação do termo falhou.,,dev
"Sorry, you are not allowed to manage terms in this taxonomy.",Não tem permissão para gerir termos nesta taxonomia.,,dev
"Sorry, editing the term failed.",A edição do termo falhou.,,dev
This taxonomy is not hierarchical so you can't set a parent.,"Esta taxonomia não é hierárquica, portanto não pode indicar uma taxonomia superior.",,dev
Invalid term ID.,ID de termo inválido.,,dev
"Sorry, you are not allowed to edit terms in this taxonomy.",Não tem permissões para editar os termos desta taxonomia.,,dev
Parent term does not exist.,O termo superior não existe.,,dev
This taxonomy is not hierarchical.,Esta taxonomia não é hierárquica.,,dev
"Sorry, you are not allowed to create terms in this taxonomy.",Não tem permissões para criar termos nesta taxonomia.,,dev
Invalid taxonomy.,Taxonomia inválida.,,dev
The term name cannot be empty.,O nome do termo não pode ser vazio.,,dev
Select Link Category:,Escolha a categoria da ligação:,,dev
Stylesheet,Folha de estilos,,dev
Template,Modelo,,dev
Number of links to show:,Número de ligações a apresentar:,,dev
Link ID,ID da ligação,,dev
Link rating,Classificação da ligação,,dev
Link title,Título da ligação,,dev
"The ""%s"" theme is not a valid parent theme.","O tema ""%s"" não é um tema superior válido.",,dev
Stylesheet is not readable.,A folha de estilos não é legível.,,dev
ERROR: The themes directory is either empty or doesn&#8217;t exist. Please check your installation.,ERRO: O directório de temas está vazia ou não existe. Por favor verifique a sua instalação.,,dev
Customize: %s,Personalizar: %s,translators: %s: document title from the preview,dev
&mdash; Select &mdash;,&mdash; Seleccione &mdash;,,dev
Tagline,Descrição,,dev
Front page displays,A página inicial mostra,,dev
Your latest posts,Os seus artigos mais recentes,,dev
Your theme supports a static front page.,O seu tema suporta uma página inicial estática.,,dev
Static Front Page,Página inicial,,dev
The post type may not be changed.,O tipo de conteúdo não pode ser alterado.,,dev
Image default align,Alinhamento da imagem por omissão,,dev
Image default link type,Tipo de ligação da imagem por omissão,,dev
Image default size,Tamanho da imagem por omissão,,dev
"Sorry, you are not allowed to edit this post.",Não tem permissões para editar este artigo.,,dev
Edit Site,Editar site,,dev
", [tag delimiter]",",",,dev
"Sorry, one of the given taxonomies is not supported by the post type.",Uma das taxonomias indicadas não é suportada pelo tipo de conteúdo.,,dev
"Sorry, you are not allowed to assign a term to one of the given taxonomies.",Não tem permissões para atribuir termos a uma das taxonomias indicadas.,,dev
"Sorry, you are not allowed to create private posts in this post type.",Não tem permissão para criar conteúdos privados deste tipo.,,dev
"Sorry, you are not allowed to create posts as this user.",Não tem permissões para criar artigos deste utilizador.,,dev
"Sorry, you are not allowed to create password protected posts in this post type.","Não tem permissão para criar conteúdos deste tipo, protegidos por senha.",,dev
The post cannot be deleted.,O artigo não pode ser eliminado.,,dev
"Sorry, you are not allowed to add a term to one of the given taxonomies.",Não tem permissões para adicionar termos a uma destas taxonomias.,,dev
Ambiguous term name used in a hierarchical taxonomy. Please use term ID instead.,"Termos ambíguos estão a ser usados numa taxonomia hierárquica. Por favor use, em substituição, o ID do termo.",,dev
"Sorry, you are not allowed to delete a category.",Não tem permissões para eliminar uma categoria.,,dev
Invalid author ID.,ID de autor inválido.,,dev
"Sorry, you are not allowed to edit posts in this post type.",Não tem permissões para editar conteúdos deste tipo.,,dev
F Y [monthly archives date format],F Y,,dev
Y [yearly archives date format],Y,,dev
&#8217; [closing curly single quote],&#8217;,translators: closing curly single quote,dev
&#8216; [opening curly single quote],&#8216;,translators: opening curly single quote,dev
&#8243; [double prime],&#8243;,"translators: double prime, for example in 9"" (nine inches)",dev
&#8242; [prime],&#8242;,"translators: prime, for example in 9' (nine feet)",dev
&#8217; [apostrophe],&#8217;,"translators: apostrophe, for example in 'cause or can't",dev
&#8221; [closing curly double quote],&#8221;,translators: closing curly double quote,dev
&#8220; [opening curly double quote],&#8220;,translators: opening curly double quote,dev
Allow search engines to index this site.,Permitir que os motores de pesquisa indexem este site.,,dev
Create a Configuration File,Criar ficheiro de configuração,,dev
"You can create a %s file through a web interface, but this doesn't work for all server setups. The safest way is to manually create the file.","Pode criar um ficheiro %s através do navegador, mas isso não funciona em todas as configurações de servidores. O método mais seguro é criar o ficheiro manualmente.",translators: %s: wp-config.php,dev
https://codex.wordpress.org/CSS,https://codex.wordpress.org/CSS,,dev
"Your account has been activated. You may now <a href=""%1$s"">log in</a> to the site using your chosen username of &#8220;%2$s&#8221;. Please check your email inbox at %3$s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=""%4$s"">reset your password</a>.","A sua conta foi activada. Pode agora <a href=""%1$s"">iniciar a sua sessão</a> no site, usando o nome de utilizador que escolheu, &#8220;%2$s&#8221;. Por favor, verifique a sua caixa de correio em %3$s para ver a sua senha e instruções de início de sessão Se não receber um email, verifique a sua pasta de spam ou lixo. Se mesmo assim não receber um email dentro de uma hora, pode sempre <a href=""%4$s""> redefinir a sua senha</a>.","translators: 1: login URL, 2: username, 3: user email, 4: lost password URL",dev
"<a href=""%1$s"">%2$s</a> is your new site. <a href=""%3$s"">Log in</a> as &#8220;%4$s&#8221; using your existing password.","<a href=""http://%1$s"">http://%2$s</a> é o seu novo site. <a href=""%3$s"">Inicie a sessão</a> como &#8220;%4$s&#8221; usando a sua senha actual.","translators: 1: home URL, 2: site address, 3: login URL, 4: username",dev
"Your site at <a href=""%1$s"">%2$s</a> is active. You may now log in to your site using your chosen username of &#8220;%3$s&#8221;. Please check your email inbox at %4$s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=""%5$s"">reset your password</a>.","O seu site <a href=""%1$s"">%2$s</a> está activo. Pode agora iniciar a sessão no site com o nome de utilizador que escolheu &#8220;%3$s&#8221;. Por favor verifique na sua caixa de email em %4$s a senha e instruções de início de sessão. Se não receber o email, verifique a sua pasta de spam. Se mesmo assim não receber o email no espaço de uma hora, pode <a href=""%5$s"">pedir uma nova senha</a>.","translators: 1: site URL, 2: site domain, 3: username, 4: user email, 5:
lost password URL",dev
"One or more database tables are unavailable. The database may need to be <a href=""%s"">repaired</a>.","Uma ou mais tabelas da base de dados não estão disponíveis. A base de dados pode estar a precisar de ser <a href=""%s"">reparada</a>.",translators: %s: database repair URL,dev
You are posting comments too quickly. Slow down.,Está a publicar comentários com demasiada rapidez. Deixe passar mais tempo.,,dev
New [admin bar menu group label],Adicionar,,dev
"%s comment awaiting moderation
%s comments awaiting moderation","%s comentário aguarda moderação
%s comentários aguardam moderação",,dev
%s exceeds the maximum upload size for the multi-file uploader when used in your browser.,%s excede o tamanho máximo de carregamento de múltiplos ficheiros quando usado no seu navegador.,,dev
&#8220;%s&#8221; has failed to upload.,&#8220;%s&#8221; falhou no carregamento.,,dev
Please try uploading this file with the %1$sbrowser uploader%2$s.,Por favor tente carregar este ficheiro %1$satravés do navegador%2$s.,"translators: 1: Opening link tag, 2: Closing link tag",dev
